hjd,camera,mag,mag_err,flux,flux_err
2458184.14368,ba,12.084,0.02,56.274,1.035
2457176.96842,ba,12.263,0.02,47.732,0.878
2457196.86972,ba,12.164,0.02,52.281,0.962
2458029.81248,ba,12.108,0.02,55.037,1.013
2457831.13118,ba,12.225,0.02,49.437,0.91
2458347.86485,ba,12.067,0.02,57.157,1.052
2457979.79456,ba,12.123,0.02,54.282,0.999
2457929.98749,ba,12.205,0.02,50.32,0.926
2456891.8722,ba,12.095,0.02,55.728,1.025
2457500.03246,ba,12.172,0.02,51.915,0.955
2457109.10608,ba,12.235,0.02,48.947,0.901
2456893.9384,ba,12.252,0.02,48.194,0.887
2456937.81889,ba,12.181,0.02,51.473,0.947
2456889.87625,ba,12.11,0.02,54.932,1.011
2458310.94573,ba,12.116,0.02,54.626,1.005
2457264.90075,ba,12.128,0.02,54.038,0.994
2458362.94481,ba,12.149,0.02,53.026,0.976
2458019.85783,ba,12.184,0.02,51.324,0.944
2457184.07306,ba,12.199,0.02,50.64,0.932
2457705.69855,ba,12.2,0.02,50.562,0.93
2457501.02895,ba,12.194,0.02,50.846,0.936
2457175.98383,ba,12.225,0.02,49.421,0.909
2458335.93266,ba,12.2,0.02,50.564,0.93
2457100.14682,ba,12.157,0.02,52.593,0.968
2457136.07155,ba,12.202,0.02,50.471,0.929
2457539.03001,ba,12.197,0.02,50.695,0.933
2458369.83934,ba,12.063,0.02,57.389,1.056
2458384.71916,ba,12.086,0.02,56.169,1.034
2458017.85934,ba,12.186,0.02,51.244,0.943
2457246.97543,ba,12.259,0.02,47.897,0.881
2457938.86533,ba,12.223,0.02,49.532,0.911
2457242.9929,ba,12.225,0.02,49.404,0.909
2456942.7876,ba,12.213,0.02,49.96,0.919
2456898.93588,ba,12.23,0.02,49.192,0.905
2456887.89106,ba,12.137,0.02,53.584,0.986
2457575.98124,ba,12.214,0.02,49.918,0.918
2458249.0374,ba,12.175,0.02,51.753,0.952
2457133.0633,ba,12.166,0.02,52.159,0.96
2457975.77729,ba,12.139,0.02,53.494,0.984
2456593.7273,ba,12.137,0.02,53.607,0.986
2457107.11184,ba,12.234,0.02,49.009,0.902
2456897.92934,ba,12.227,0.02,49.337,0.908
2457894.05965,ba,12.16,0.02,52.455,0.965
2457110.10367,ba,12.268,0.02,47.519,0.874
2457997.84187,ba,12.15,0.02,52.946,0.974
2457167.95538,ba,12.243,0.02,48.613,0.894
2457303.81129,ba,12.278,0.02,47.055,0.866
2457885.02169,ba,12.227,0.02,49.338,0.908
2457277.88035,ba,12.163,0.02,52.336,0.963
2457680.74717,ba,12.211,0.02,50.073,0.921
2456890.87352,ba,12.133,0.02,53.782,0.99
2457493.0522,ba,12.16,0.02,52.449,0.965
2457687.75502,ba,12.158,0.02,52.552,0.967
2458008.88145,ba,12.225,0.02,49.399,0.909
2456737.10213,ba,12.21,0.02,50.111,0.922
2457538.09025,ba,12.166,0.02,52.165,0.96
2457877.00878,ba,12.222,0.02,49.577,0.912
2458344.96946,ba,12.068,0.02,57.116,1.051
2457974.96491,ba,12.093,0.02,55.792,1.027
2457895.07547,ba,12.129,0.02,53.972,0.993
2456986.68683,ba,12.169,0.02,52.049,0.958
2457585.78841,ba,12.086,0.02,56.173,1.034
2456828.96772,ba,12.177,0.02,51.65,0.95
2457818.14355,ba,12.201,0.02,50.522,0.93
2456597.72497,ba,12.184,0.02,51.33,0.944
2457451.15057,ba,12.2,0.02,50.583,0.931
2457543.01614,ba,12.249,0.02,48.339,0.889
2457244.91696,ba,12.161,0.02,52.4,0.964
2457574.04582,ba,12.139,0.02,53.486,0.984
2458281.89736,ba,12.168,0.02,52.105,0.959
2456815.9832,ba,12.163,0.02,52.333,0.963
2457558.87227,ba,12.187,0.02,51.158,0.941
2457311.78736,ba,12.207,0.02,50.228,0.924
2457255.94581,ba,12.196,0.02,50.76,0.934
2457183.11491,ba,12.22,0.02,49.639,0.913
2457172.93157,ba,12.201,0.02,50.53,0.93
2457546.99121,ba,12.274,0.02,47.255,0.869
2457503.07133,ba,12.14,0.02,53.448,0.983
2458284.95098,ba,12.103,0.02,55.298,1.017
2457200.85298,ba,12.17,0.02,51.994,0.957
2456811.99239,ba,12.164,0.02,52.259,0.962
2457820.14018,ba,12.215,0.02,49.896,0.918
2457212.03899,ba,12.12,0.02,54.446,1.002
